ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-77,STATE_128500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-78,STATE_316200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-79,STATE_265200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-80,STATE_10500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-81,STATE_40400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-82,STATE_49800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-83,STATE_364600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-84,STATE_64300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-85,STATE_317900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-86,STATE_147000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-87,STATE_9500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-88,STATE_301200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-89,STATE_176400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-90,STATE_419800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-91,STATE_99500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-92,STATE_393800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-93,STATE_509400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-94,STATE_50400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-95,STATE_11300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-96,STATE_512900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-97,STATE_402800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-98,STATE_266800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-99,STATE_499700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-100,STATE_344700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-101,STATE_450400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-102,STATE_165100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-103,STATE_298400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-104,STATE_97700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-105,STATE_455900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-106,STATE_122600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-107,STATE_65500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-108,STATE_405400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-109,STATE_135100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-110,STATE_274800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-111,STATE_188900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-112,STATE_166500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-113,STATE_133900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-114,STATE_133300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-115,STATE_236100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-116,STATE_122900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-117,STATE_440000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-118,STATE_74200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-119,STATE_425600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-120,STATE_2700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-121,STATE_120000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-122,STATE_2600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-123,STATE_538700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-124,STATE_406300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-125,STATE_151400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-126,STATE_497600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-127,STATE_78500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-128,STATE_216400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-129,STATE_413800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-130,STATE_332700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-131,STATE_54100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-132,STATE_377500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-133,STATE_341300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-134,STATE_149000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-135,STATE_199200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-136,STATE_150900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-137,STATE_22300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-138,STATE_305400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-139,STATE_270700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-140,STATE_144100000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-141,STATE_323300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-142,STATE_145600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-143,STATE_145800000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-144,STATE_468200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-145,STATE_203900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-146,STATE_338500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-147,STATE_420400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-148,STATE_342000000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-149,STATE_266200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-150,STATE_98400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-151,STATE_55400000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-152,STATE_527300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-153,STATE_377200000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-154,STATE_159700000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-155,STATE_514500000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-156,STATE_508900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-157,STATE_467900000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-158,STATE_165300000,posterior.trees,,sample,bayesian,years,Bouckaert2018
posterior-159,STATE_110600000,posterior.trees,,sample,bayesian,years,Bouckaert2018
