ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
4647,egg-68,,,data,744,EGG
4648,egg-69,,,data,744,EGG
4649,egg-70,,,data,744,EGG
4650,egg-71,,,data,744,EGG
4651,egg-72,,,data,744,EGG
4652,egg-73,,,data,744,EGG
4653,egg-74,,,data,744,EGG
4654,egg-75,,,data,744,EGG
4655,egg-76,,,data,744,EGG
4656,egg-77,,,data,744,EGG
4657,egg-78,,,data,744,EGG
4658,egg-79,,,data,744,EGG
4659,egg-80,,,data,744,EGG
4660,egg-81,,,data,744,EGG
4661,egg-82,,,data,744,EGG
4662,egg-83,,,data,744,EGG
4663,egg-84,,,data,744,EGG
4664,egg-85,,,data,744,EGG
4665,egg-86,,,data,744,EGG
4666,egg-87,,,data,744,EGG
4667,egg-88,,,data,744,EGG
4668,eye-ascertained,,,data,,
4669,eye-2,,,data,1248,EYE
4670,eye-3,,,data,1248,EYE
4671,eye-4,,,data,1248,EYE
4672,eye-5,,,data,1248,EYE
4673,eye-6,,,data,1248,EYE
4674,eye-7,,,data,1248,EYE
4675,eye-8,,,data,1248,EYE
4676,eye-9,,,data,1248,EYE
4677,eye-10,,,data,1248,EYE
4678,eye-11,,,data,1248,EYE
4679,eye-12,,,data,1248,EYE
4680,eye-13,,,data,1248,EYE
4681,eye-14,,,data,1248,EYE
4682,eye-15,,,data,1248,EYE
4683,eye-16,,,data,1248,EYE
4684,eye-17,,,data,1248,EYE
4685,eye-18,,,data,1248,EYE
4686,eye-19,,,data,1248,EYE
4687,eye-20,,,data,1248,EYE
4688,eye-21,,,data,1248,EYE
4689,eye-22,,,data,1248,EYE
4690,eye-23,,,data,1248,EYE
4691,eye-24,,,data,1248,EYE
4692,eye-25,,,data,1248,EYE
4693,eye-26,,,data,1248,EYE
4694,eye-27,,,data,1248,EYE
4695,eye-28,,,data,1248,EYE
4696,eye-29,,,data,1248,EYE
4697,eye-30,,,data,1248,EYE
4698,eye-31,,,data,1248,EYE
4699,eye-32,,,data,1248,EYE
4700,eye-33,,,data,1248,EYE
4701,eye-34,,,data,1248,EYE
4702,eye-35,,,data,1248,EYE
4703,eye-36,,,data,1248,EYE
4704,eye-37,,,data,1248,EYE
4705,eye-38,,,data,1248,EYE
4706,eye-39,,,data,1248,EYE
4707,eye-40,,,data,1248,EYE
4708,eye-41,,,data,1248,EYE
4709,eye-42,,,data,1248,EYE
4710,eye-43,,,data,1248,EYE
4711,eye-44,,,data,1248,EYE
4712,eye-45,,,data,1248,EYE
4713,eye-46,,,data,1248,EYE
4714,eye-47,,,data,1248,EYE
4715,eye-48,,,data,1248,EYE
4716,eye-49,,,data,1248,EYE
4717,eye-50,,,data,1248,EYE
4718,eye-51,,,data,1248,EYE
4719,eye-52,,,data,1248,EYE
4720,eye-53,,,data,1248,EYE
4721,faeces-ascertained,,,data,,
4722,faeces-2,,,data,675,FAECES (EXCREMENT)
4723,faeces-3,,,data,675,FAECES (EXCREMENT)
4724,faeces-4,,,data,675,FAECES (EXCREMENT)
4725,faeces-5,,,data,675,FAECES (EXCREMENT)
4726,faeces-6,,,data,675,FAECES (EXCREMENT)
4727,faeces-7,,,data,675,FAECES (EXCREMENT)
4728,faeces-8,,,data,675,FAECES (EXCREMENT)
4729,faeces-9,,,data,675,FAECES (EXCREMENT)
4730,faeces-10,,,data,675,FAECES (EXCREMENT)
4731,faeces-11,,,data,675,FAECES (EXCREMENT)
4732,faeces-12,,,data,675,FAECES (EXCREMENT)
4733,faeces-13,,,data,675,FAECES (EXCREMENT)
4734,faeces-14,,,data,675,FAECES (EXCREMENT)
4735,faeces-15,,,data,675,FAECES (EXCREMENT)
4736,faeces-16,,,data,675,FAECES (EXCREMENT)
4737,faeces-17,,,data,675,FAECES (EXCREMENT)
4738,faeces-18,,,data,675,FAECES (EXCREMENT)
4739,faeces-19,,,data,675,FAECES (EXCREMENT)
4740,faeces-20,,,data,675,FAECES (EXCREMENT)
4741,faeces-21,,,data,675,FAECES (EXCREMENT)
4742,faeces-22,,,data,675,FAECES (EXCREMENT)
4743,faeces-23,,,data,675,FAECES (EXCREMENT)
4744,faeces-24,,,data,675,FAECES (EXCREMENT)
4745,faeces-25,,,data,675,FAECES (EXCREMENT)
4746,faeces-26,,,data,675,FAECES (EXCREMENT)
4747,faeces-27,,,data,675,FAECES (EXCREMENT)
4748,faeces-28,,,data,675,FAECES (EXCREMENT)
4749,faeces-29,,,data,675,FAECES (EXCREMENT)
4750,faeces-30,,,data,675,FAECES (EXCREMENT)
4751,faeces-31,,,data,675,FAECES (EXCREMENT)
4752,faeces-32,,,data,675,FAECES (EXCREMENT)
4753,faeces-33,,,data,675,FAECES (EXCREMENT)
4754,faeces-34,,,data,675,FAECES (EXCREMENT)
4755,faeces-35,,,data,675,FAECES (EXCREMENT)
4756,faeces-36,,,data,675,FAECES (EXCREMENT)
4757,faeces-37,,,data,675,FAECES (EXCREMENT)
